
---------- Begin Simulation Statistics ----------
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     11.11% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                     89     49.44%     60.56% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                    71     39.44%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses                   9588                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads              32852                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses         8498                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes             18076                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                      11931                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                      9418                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                  44                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined            6080                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued                39                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved              7                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined        15109                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples         13797                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         0.682612                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        1.430956                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0               10220     74.07%     74.07% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1                1203      8.72%     82.79% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2                 829      6.01%     88.80% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3                 561      4.07%     92.87% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4                 398      2.88%     95.75% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5                 333      2.41%     98.17% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6                 165      1.20%     99.36% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7                  77      0.56%     99.92% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8                  11      0.08%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total           13797                       # Number of insts issued each cycle
system.cpu.iq.rate                           0.282010                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads                34                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores               24                       # Number of conflicting stores.
