threshold,fpr,tpr
0.0759367,0.219912,0.583535
0.0759144,0.220542,0.583535
0.0756522,0.221172,0.583535
0.0756396,0.221802,0.583535
0.0756294,0.222432,0.583535
0.0755917,0.222432,0.585956
0.0754732,0.223062,0.585956
0.0753978,0.223693,0.585956
0.0753274,0.223693,0.588378
0.0752075,0.223693,0.590799
0.0751603,0.224323,0.590799
0.0751286,0.224323,0.59322
0.0751237,0.224953,0.59322
0.0751154,0.224953,0.595642
0.0750203,0.224953,0.598063
0.075008,0.225583,0.598063
0.0749806,0.225583,0.600484
0.074861,0.226213,0.600484
0.0748146,0.226843,0.600484
0.0746769,0.226843,0.602906
0.0745788,0.226843,0.605327
0.0745613,0.228103,0.605327
0.0744803,0.228733,0.605327
0.0743475,0.229364,0.605327
0.0743256,0.229364,0.607748
0.0742717,0.229994,0.607748
0.0742013,0.230624,0.607748
0.0741628,0.230624,0.610169
0.0740543,0.230624,0.612591
0.0739919,0.231254,0.612591
0.0736177,0.231884,0.612591
0.0736061,0.232514,0.612591
0.0735011,0.233144,0.612591
0.0734825,0.233774,0.612591
0.0734422,0.233774,0.615012
0.0734003,0.234405,0.615012
0.0733373,0.235035,0.615012
0.0733369,0.235665,0.615012
0.0732432,0.235665,0.617433
0.0730446,0.236295,0.617433
0.073044,0.236925,0.617433
0.0730356,0.237555,0.617433
0.0729793,0.238185,0.617433
0.0729395,0.238815,0.617433
0.0729283,0.239445,0.617433
0.0727599,0.239445,0.619855
0.0727143,0.240076,0.619855
0.07271,0.240076,0.622276
0.0724351,0.240706,0.622276
0.0723404,0.240706,0.624697
0.0723,0.241336,0.624697
0.0722142,0.241966,0.624697
0.0721834,0.242596,0.624697
0.0720343,0.243226,0.624697
0.0720216,0.243856,0.624697
0.0719258,0.244486,0.624697
0.0719252,0.244486,0.627119
0.0718644,0.244486,0.62954
0.0717418,0.245117,0.62954
0.0715528,0.245117,0.631961
0.0715131,0.245747,0.631961
0.0714878,0.246377,0.631961
0.0714346,0.247007,0.631961
0.0713961,0.247637,0.631961
0.0713915,0.248267,0.631961
0.0713618,0.248267,0.634383
0.0712729,0.248267,0.636804
0.0711961,0.248897,0.636804
