
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000017                       # Number of seconds simulated (Second)
system.cpu0.numStoreInsts                        1215                       # Number of stores executed (Count)
system.cpu0.numRate                          0.268598                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                            197                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                          19047                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                       5084                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                         5894                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              6.604642                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         6.604642                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.151409                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.151409                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                      8737                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                     4901                       # Number of integer regfile writes (Count)
system.cpu0.vecRegfileReads                        32                       # number of vector regfile reads (Count)
system.cpu0.ccRegfileReads                      31941                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                      3763                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                    19737                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                      46                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads          2557                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores         1700                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads           34                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores           24                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                   3577                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted             2266                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect              531                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups                1757                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                   1055                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.600455                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                    369                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                65                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups            277                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits                13                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses             264                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted           63                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts           6099                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls             37                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts              368                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples        13468                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     0.437630                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     1.292765                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0          11247     83.51%     83.51% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1            941      6.99%     90.50% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2            474      3.52%     94.02% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3            221      1.64%     95.66% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4            111      0.82%     96.48% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5            235      1.74%     98.23% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6             74      0.55%     98.77% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7             41      0.30%     99.08% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8            124      0.92%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
